Frame,Vehicles,Approaching Vehicles,Headlights,Glare Score,Glare Level,Beam Intensity,Beam Direction,Action
1,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
2,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
3,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
4,4,0,13,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
5,4,1,13,97,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
6,4,0,13,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
7,4,0,13,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
8,4,0,13,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
9,4,0,13,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
10,4,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
11,4,0,12,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
12,4,0,13,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
13,4,0,13,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
14,4,0,14,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
15,4,1,12,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
16,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
17,3,0,13,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
18,3,0,12,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
19,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
20,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
21,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
22,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
23,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
24,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
25,3,0,12,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
26,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
27,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
28,3,0,11,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
29,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
30,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
31,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
32,3,0,11,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
33,5,1,13,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
34,4,1,15,82,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
35,5,0,15,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
36,5,0,15,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
37,5,0,18,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
38,4,0,15,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
39,4,1,16,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
40,4,0,16,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
41,4,0,16,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
42,5,1,16,96,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
43,5,0,16,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
44,5,0,18,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
45,5,0,17,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
46,5,0,17,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
47,5,0,18,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
48,6,0,18,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
49,6,1,18,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
50,6,0,16,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
51,6,0,16,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
52,6,2,17,97,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
53,6,0,19,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
54,6,1,20,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
55,6,0,19,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
56,6,0,21,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
57,7,1,21,89,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
58,6,1,21,86,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
59,6,0,19,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
60,6,0,18,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
61,6,0,22,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
62,6,0,22,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
63,6,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
64,6,0,20,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
65,6,1,19,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
66,6,1,20,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
