Frame,Vehicles,Approaching Vehicles,Headlights,Glare Score,Glare Level,Beam Intensity,Beam Direction,Action
1,1,0,6,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
2,1,0,5,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
3,1,0,7,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
4,1,0,6,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
5,1,0,6,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
6,1,0,6,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
7,1,0,6,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
8,1,0,8,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
9,1,0,7,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
10,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
11,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
12,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
13,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
14,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
15,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
16,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
17,1,0,8,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
18,1,0,9,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
19,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
20,1,0,8,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
21,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
22,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
23,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
24,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
25,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
26,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
27,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
28,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
29,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
30,1,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
31,1,0,6,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
32,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
33,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
34,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
35,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
36,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
37,1,0,5,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
38,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
39,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
40,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
41,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
42,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
43,2,0,9,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
44,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
45,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
46,2,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
47,2,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
48,2,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
49,2,0,7,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
50,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
51,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
52,2,0,8,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
53,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
54,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
55,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
56,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
57,1,0,4,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
58,1,0,4,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
59,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
60,1,0,5,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
61,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
62,1,0,4,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
63,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
64,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
65,2,0,9,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
66,2,0,9,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
67,2,0,9,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
68,2,0,9,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
69,2,0,9,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
70,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
71,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
72,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
73,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
74,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
75,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
76,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
77,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
78,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
79,1,0,4,74,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
80,1,0,4,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
81,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
82,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
83,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
84,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
85,1,0,3,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
86,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
87,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
88,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
89,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
90,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
91,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
92,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
93,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
94,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
95,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
96,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
97,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
98,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
99,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
100,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
101,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
102,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
103,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
104,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
105,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
106,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
107,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
108,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
109,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
110,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
111,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
112,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
113,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
114,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
115,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
116,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
117,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
118,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
119,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
120,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
121,0,0,0,0,LOW,100,NORMAL,NORMAL BEAM
